2015/Aug/01 34.313
2015/Aug/02 36.887
2015/Aug/03 36.160
2015/Aug/04 31.944
2015/Aug/05 37.000
2015/Aug/06 31.757
2015/Aug/07 31.571
2015/Aug/08 32.065
2015/Aug/09 32.236
2015/Aug/10 34.173
2015/Aug/11 37.877
2015/Aug/12 36.104
2015/Aug/13 38.222
2015/Aug/14 30.071
2015/Aug/15 32.642
2015/Aug/16 36.631
2015/Aug/17 36.124
2015/Aug/18 32.392
2015/Aug/19 38.168
2015/Aug/20 32.822
2015/Aug/21 33.766
2015/Aug/22 35.743
2015/Aug/23 36.005
2015/Aug/24 39.518
2015/Aug/25 35.324
2015/Aug/26 38.583
2015/Aug/27 33.729
2015/Aug/28 37.182
2015/Aug/29 37.994
2015/Aug/30 33.959
2015/Aug/31 35.533
